13:      SR807P7400        , 1000.00        , 857.00         , 985.50         , 1958.00        , 1270.00        , 1270.00        , 445.50         , 0              , 22824488.00    , 2112.00        , 1000.00        , 878.00         , 1270.00        , 444.00         , 0.00           , 0.00           , 14:53:26       , 0              , 646.50         , 4              , 1267.00        , 5              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 878.00         , 20170331       
14:      SR807P7500        , 1363.00        , 950.00         , 750.00         , 1724.00        , 1363.00        , 1363.00        , 1363.00        , 0              , 16356.00       , 1734.00        , 1363.00        , 1363.00        , 1363.00        , 537.00         , 0.00           , 0.00           , 14:55:31       , 0              , 568.50         , 5              , 1363.00        , 5              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 1363.00        , 20170331       
15:      IO1704-P-3300     , 1.20           , 2.00           , 1.00           , 216.00         , 1.00           , 1.20           , 1.00           , 0              , 920.00         , 225.00         , 1.20           , 0.60           , 345.60         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 102.22         , 20170331       
16:      IO1704-P-3350     , 1.00           , 7.40           , 1.00           , 158.00         , 0.00           , 0.00           , 0.00           , 0              , 0.00           , 158.00         , 1.00           , 3.20           , 351.00         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 1.00           , 6              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 0.00           , 20170331       
17:      IO1704-P-3400     , 1.00           , 20.60          , 1.00           , 60.00          , 1.00           , 1.00           , 1.00           , 0              , 500.00         , 65.00          , 1.00           , 12.00          , 364.20         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 1.00           , 1              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 100.00         , 20170331       
18:      IO1704-C-3200     , 573.80         , 230.40         , 1.00           , 16.00          , 1.00           , 574.00         , 1.00           , 0              , 905694840.00   , 20.00          , 573.80         , 246.00         , 574.00         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 1.40           , 5              , 573.20         , 2              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 28749.48       , 20170331       
19:      IO1704-C-3250     , 1.00           , 180.80         , 1.00           , 7.00           , 0.00           , 0.00           , 0.00           , 0              , 0.00           , 7.00           , 1.00           , 196.00         , 524.40         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 1.20           , 5              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 0.00           , 20170331       
20:      IO1704-C-3300     , 237.80         , 132.60         , 1.00           , 13.00          , 476.20         , 476.20         , 10.00          , 0              , 310100.00      , 9.00           , 237.80         , 146.80         , 476.20         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 1.00           , 6              , 237.80         , 3              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 25841.67       , 20170331       
21:      IO1704-C-3350     , 431.80         , 88.20          , 1.00           , 14.00          , 431.80         , 431.80         , 431.80         , 0              , 43180.00       , 14.00          , 431.80         , 99.60          , 431.80         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 10.00          , 1              , 431.80         , 2              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 43180.00       , 20170331       
22:      IO1704-C-3400     , 286.40         , 237.00         , 237.00         , 27.00          , 570.00         , 570.00         , 5.00           , 0              , 220669760.00   , 37.00          , 286.40         , 58.40          , 580.60         , 0.20           , 0.00           , 0.00           , 15:58:41       , 100            , 155.00         , 1              , 300.00         , 1              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0.00           , 0              , 0              , 0.00           , 0              , 29012.59       , 20170331       
